Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
1,,,,"In Captain America: Civil War, disagreement over international oversight of the Avengers fractures them into opposing factions—one led by Steve Rogers and the other by Tony Stark.",Captain America: Civil War,,"Joe Russo, Anthony Russo",,7.9,,2016,"Sci-Fi, Action",,,
2,,,,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Batman v Superman: Dawn of Justice,,Zack Snyder,,6.7,,2016,"Fantasy, Sci-Fi",,,
3,,,,"The friendly but forgetful blue tang fish begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.",Finding Dory,,"Andrew Stanton, Angus MacLane",,7.5,,2016,"Animation, Adventure, Comedy",,,
4,,,,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test.",Star Trek Beyond,,Justin Lin,,7.1,,2016,"Action, Adventure, Sci-Fi",,,
5,,,,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",The Legend of Tarzan,,David Yates,,6.3,,2016,"Action, Drama, Adventure",,,
6,,,,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",X-Men: Apocalypse,,Bryan Singer,,7.1,,2016,"Action, Adventure, Sci-Fi",,,
7,,,,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",The Jungle Book,,Jon Favreau,,7.5,,2016,"Adventure, Drama, Family",,,
8,,,,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,Suicide Squad,,David Ayer,,6.3,,2016,"Action, Adventure, Fantasy",,,
9,,,,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,Alice Through the Looking Glass,,James Bobin,,6.3,,2016,"Adventure, Family, Fantasy",,,
10,,,,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",Independence Day: Resurgence,,Roland Emmerich,,5.3,,2016,"Action, Adventure, Sci-Fi",,,
11,,,,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Warcraft,,Duncan Jones,,7,,2016,"Action, Adventure, Fantasy",,,
12,,,,"A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history.",Deepwater Horizon,,Peter Berg,,7.2,,2016,"Drama, Thriller",,,
13,,,,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Zootopia,,"Byron Howard, Rich Moore, Jared Bush",,8.1,,2016,"Animation, Adventure, Comedy",,,
14,,,,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",Passengers,,Morten Tyldum,,7,,2016,"Adventure, Drama, Romance",,,
15,,,,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",Ghostbusters,,Paul Feig,,5.4,,2016,"Action, Comedy, Fantasy",,,
16,,,,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",Kung Fu Panda 3,,"Alessandro Carloni, Jennifer Yuh Nelson",,7.2,,2016,"Animation, Action, Adventure",,,
17,,,,"A girl named Sophie encounters the Big Friendly Giant who, despite his intimidating appearance, turns out to be a kind-hearted soul who is considered an outcast by the other giants because, unlike them, he refuses to eat children.",The BFG,,Steven Spielberg,,6.4,,2016,"Adventure, Family, Fantasy",,,
18,,,,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",Gods of Egypt,,Alex Proyas,,5.5,,2016,"Action, Adventure, Fantasy",,,
19,,,,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Teenage Mutant Ninja Turtles: Out of the Shadows,,Dave Green,,6,,2016,"Action, Adventure, Comedy",,,
20,,,,The CIA's most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past.,Jason Bourne,,Paul Greengrass,,6.7,,2016,"Action, Thriller",,,
21,,,,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",Trolls,,"Walt Dohrn, Mike Mitchell",,6.5,,2016,"Animation, Adventure, Comedy",,,
22,,,,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",The Huntsman: Winter’s War,,Cedric Nicolas-Troyan,,6.1,,2016,"Action, Adventure, Drama",,,
