Position,Const,Created,Modified,Description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
1,,,,"Star Wars: The Force Awakens (also known as Star Wars: Episode VII – The Force Awakens) is a 2015 American epic space opera film directed, co-produced and co-written by J. J. Abrams. ",Star Wars Ep. VII: The Force Awakens,,J.J. Abrams,,10,,2015,"Action Film, Space opera, Science fiction film, Adventure Film, Fantasy, Epic film",,,
2,,,,"The return of Blofeld to the James Bond franchise should have been epic, but instead Spectre is an overly long and uninspired entry that squanders its massive potential--but still boasts enough James Bond stuff to be moderately entertaining.",Spectre,,"
John Logan",,9,,2015,"Action film, Spy film, Crime fiction, Adventure film, Thriller",,,
3,,,,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.",Avengers: Age of Ultron,,Joss Whedon,,8,,2015,"Action, Adventure, Sci-Fi",,,
4,,,,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",Jurassic World,, Colin Trevorrow,,9,,2015,"Action, Adventure, Sci-Fi",,,
5,,,,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Furious 7,, James Wan,,10,,2015," Action, Crime, Thriller",,,
6,,,,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.",The Good Dinosaur,, Peter Sohn,,9,,2015,"Animation, Adventure, Comedy",,,
7,,,,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Jupiter Ascending,, Lana Wachowski ,,9,,2015,"Action, Adventure, Sci-Fi",,,
8,,,,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Inside Out,," Pete Docter, Ronnie Del Carmen",,7,,2015,"Animation, Adventure, Comedy",,,
9,,,,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.",Tomorrowland,, Brad Bird,,8,,2015,"Action, Adventure, Family",,,
10,,,,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance.",The Hunger Games: Mockingjay - Part 2,, Francis Lawrence,,10,,2015,"Action, Adventure, Sci-Fi",,,
11,,,,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",Terminator: Genisys,, Alan Taylor,,7,,2015,"Action, Adventure, Sci-Fi",,,
12,,,,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Mission: Impossible - Rogue Nation,, Christopher McQuarrie,,10,,2015,"Action, Adventure, Thriller",,,
13,,,,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",Mad Max: Fury Road,, George Miller,,9,,2015,"Action, Adventure, Sci-Fi",,,
